titulo_oferta,descripcion_raw,fuente
"Auditor lider CERTIFICADORA I-NEXT Nos encontramos en la búsqueda de un profesional calificado para desempeñarse como Auditor Líder en la norma ISO 9001:2015, ISO 14001:2015, ISO 45001:2018 o en Sistema Integrado, para la ciudad Guayaquil con el objetivo de fortalecer nuestro equipo técnico y... Por Contrato Guayaquil, Guayas • 19/06/2026 $80,00 / Diario","Auditor lider CERTIFICADORA I-NEXT Nos encontramos en la búsqueda de un profesional calificado para desempeñarse como Auditor Líder en la norma ISO 9001:2015, ISO 14001:2015, ISO 45001:2018 o en Sistema Integrado, para la ciudad Guayaquil con el objetivo de fortalecer nuestro equipo técnico y... Por Contrato Guayaquil, Guayas • 19/06/2026 $80,00 / Diario",trabajosdiarios
"Agente inmobiliario con experiencia - GlobalHaus Aurora GlobalHaus Sede Aurora ¿Buscas crecer profesionalmente en el sector inmobiliario? En Globalhaus buscamos Agentes Inmobiliarios con experiencia, orientados a resultados, con habilidades comerciales y vocación de servicio para formar parte de nuestro equipo. Perfil del candidato * Experiencia en ventas, atención al cliente... Tiempo Completo DAULE, Guayas • 18/06/2026 $2.000,00 / Mensual","Agente inmobiliario con experiencia - GlobalHaus Aurora GlobalHaus Sede Aurora ¿Buscas crecer profesionalmente en el sector inmobiliario? En Globalhaus buscamos Agentes Inmobiliarios con experiencia, orientados a resultados, con habilidades comerciales y vocación de servicio para formar parte de nuestro equipo. Perfil del candidato * Experiencia en ventas, atención al cliente... Tiempo Completo DAULE, Guayas • 18/06/2026 $2.000,00 / Mensual",trabajosdiarios
"Ingeniero de Energía (Energy Engineer) LESCOR S.A. Buscamos un Ingeniero de Energía proactivo y orientado a resultados para unirse a nuestro equipo de operaciones en Ecuador, con base en Guayaquil o Quito. En este puesto, será responsable de la puesta en marcha, el dimensionamiento, la operación y... Tiempo Completo Quito, Pichincha • 15/06/2026 $1.200,00 / Mensual","Ingeniero de Energía (Energy Engineer) LESCOR S.A. Buscamos un Ingeniero de Energía proactivo y orientado a resultados para unirse a nuestro equipo de operaciones en Ecuador, con base en Guayaquil o Quito. En este puesto, será responsable de la puesta en marcha, el dimensionamiento, la operación y... Tiempo Completo Quito, Pichincha • 15/06/2026 $1.200,00 / Mensual",trabajosdiarios
"Desarrollador de Nuevos Negocios CFO BUSINESS CONSULTING Importante firma financiera buscar incorporar a su staff un: Desarrollador de Negocios Este es un puesto muy demandante ya que implica el cumplimiento de dos resultados muy importantes • Consolidación de una cartera de clientes estratégicos y fidelizados. • Cuota... Tiempo Completo Quito, Pichincha • 05/06/2026 $500,00 / Mensual","Desarrollador de Nuevos Negocios CFO BUSINESS CONSULTING Importante firma financiera buscar incorporar a su staff un: Desarrollador de Negocios Este es un puesto muy demandante ya que implica el cumplimiento de dos resultados muy importantes • Consolidación de una cartera de clientes estratégicos y fidelizados. • Cuota... Tiempo Completo Quito, Pichincha • 05/06/2026 $500,00 / Mensual",trabajosdiarios
"Bordador con experiencia LEICOSS Se requiere BORDADOR con experiencia para empresa textil dedicada a la confección y distribución de ropa infantil al por mayor. Buscamos una persona responsable, detallista y comprometida, con conocimientos en manejo de máquinas de bordado industrial y dominio del programa... Tiempo Completo Quito, Pichincha • 26/05/2026 $450,00 / Mensual","Bordador con experiencia LEICOSS Se requiere BORDADOR con experiencia para empresa textil dedicada a la confección y distribución de ropa infantil al por mayor. Buscamos una persona responsable, detallista y comprometida, con conocimientos en manejo de máquinas de bordado industrial y dominio del programa... Tiempo Completo Quito, Pichincha • 26/05/2026 $450,00 / Mensual",trabajosdiarios
"Bordador TA DESIGNS Bordador y Programador con experiencia de al menos 2 años, bordadoras de varios cabezales y manejo completo del equipo. Trabajo estable con afiliación al seguro iess y derechos de ley, jornada diurna. Tiempo Completo Quito, Pichincha • 26/05/2026","Bordador TA DESIGNS Bordador y Programador con experiencia de al menos 2 años, bordadoras de varios cabezales y manejo completo del equipo. Trabajo estable con afiliación al seguro iess y derechos de ley, jornada diurna. Tiempo Completo Quito, Pichincha • 26/05/2026",trabajosdiarios
"Supervisor de Obra SATMEC SOLICITUD DE SERVICIOS PROFESIONALES INGENIERA CIVIL – SUPERVISIÓN DE OBRA Empresa del sector industrial ubicada en Guayaquil busca contratar los servicios de una Ingeniero o Ingeniera Civil titulado y habilitada para la supervisión de un proyecto de rehabilitación Por Contrato Guayaquil, Guayas • 01/07/2026","Premium Supervisor de Obra SATMEC SOLICITUD DE SERVICIOS PROFESIONALES INGENIERA CIVIL – SUPERVISIÓN DE OBRA Empresa del sector industrial ubicada en Guayaquil busca contratar los servicios de una Ingeniero o Ingeniera Civil titulado y habilitada para la supervisión de un proyecto de rehabilitación Por Contrato Guayaquil, Guayas • 01/07/2026",trabajosdiarios
"Operador CORP UNION Y PROGRESO Enfoque en la gestión de altos volúmenes de llamadas telefónicas (entrantes y salientes) y mensajes digitales desde centros de contacto. Funciones clave: Realizar telemercadeo, gestionar encuestas, agendar citas y ejecutar soporte técnico básico bajo métricas de tiempo Tiempo Completo Sin experiencia Quito, Pichincha • 30/06/2026 $482,00 / Mensual","Premium Operador CORP UNION Y PROGRESO Enfoque en la gestión de altos volúmenes de llamadas telefónicas (entrantes y salientes) y mensajes digitales desde centros de contacto. Funciones clave: Realizar telemercadeo, gestionar encuestas, agendar citas y ejecutar soporte técnico básico bajo métricas de tiempo Tiempo Completo Sin experiencia Quito, Pichincha • 30/06/2026 $482,00 / Mensual",trabajosdiarios
"Médicos Generales ALFAMED VITAL MÉDICO GENERAL ATENCIÓN MÉDICA DOMICILIARIA Importante empresa dedicada a la prestación de servicios de atención médica a domicilio se encuentra en la búsqueda de Médicos Generales comprometidos con la excelencia, la calidad asistencial y el trato humanizado, para form Por Contrato Quito, Pichincha • 30/06/2026 $200,00 / Semanal","Premium Médicos Generales ALFAMED VITAL MÉDICO GENERAL ATENCIÓN MÉDICA DOMICILIARIA Importante empresa dedicada a la prestación de servicios de atención médica a domicilio se encuentra en la búsqueda de Médicos Generales comprometidos con la excelencia, la calidad asistencial y el trato humanizado, para form Por Contrato Quito, Pichincha • 30/06/2026 $200,00 / Semanal",trabajosdiarios
"Vendedor CORP UNION Y PROGRESO ¿Te apasionan las ventas y los resultados? Buscamos personas con actitud, ambición y enfoque en el cliente para formar parte de nuestro equipo comercial. Funciones principales: * Contactar y asesorar a clientes potenciales. * Identificar necesidades y ofrecer so Tiempo Completo Sin experiencia Quito, Pichincha • 30/06/2026 $482,00 / Mensual","Premium Vendedor CORP UNION Y PROGRESO ¿Te apasionan las ventas y los resultados? Buscamos personas con actitud, ambición y enfoque en el cliente para formar parte de nuestro equipo comercial. Funciones principales: * Contactar y asesorar a clientes potenciales. * Identificar necesidades y ofrecer so Tiempo Completo Sin experiencia Quito, Pichincha • 30/06/2026 $482,00 / Mensual",trabajosdiarios
"Agente financiero CORP UNION Y PROGRESO Buscamos un Analista de Crédito responsable de evaluar solicitudes de financiamiento, verificar documentación, analizar la capacidad de pago de los clientes y emitir recomendaciones de aprobación o rechazo de créditos. Se requiere capacidad analítica, atención al detall Por Contrato Sin experiencia Quito, Pichincha • 30/06/2026 $600,00 / Mensual","Premium Agente financiero CORP UNION Y PROGRESO Buscamos un Analista de Crédito responsable de evaluar solicitudes de financiamiento, verificar documentación, analizar la capacidad de pago de los clientes y emitir recomendaciones de aprobación o rechazo de créditos. Se requiere capacidad analítica, atención al detall Por Contrato Sin experiencia Quito, Pichincha • 30/06/2026 $600,00 / Mensual",trabajosdiarios
MANTENIMIENTO DE SOFTWARE Y HAREWARE,Ingeniero o Tecnólogo en sistemas. Medio tiempo Sueldo competitivo Oportunidad de crecimiento,unmejorempleo
Ingeniero de Software Senior,"CFO Business Consulting se encuentra en una etapa de expansión tecnológica y busca incorporar a su equipo a un Ingeniero de Software Senior con capacidad de liderazgo técnico y visión estratégica.Buscamos a un profesional apasionado por el desarrollo de soluciones de alto impacto, que posea una trayectoria sólida de al menos &#x35; años en el ciclo de vida completo de desarrollo de software (SDLC) y un enfoque en la excelencia operativa.",multitrabajos
Ejecutivo Comercial Senior - Software,"Formación:Tercer nivel: Administración, Comercio, Logística, Marketing o afinesExperiencia:Minimo de 3 a 5 años en roles comerciales B2B con servicios o intangibles.Conocimiento: Prospección y Desarrollo de Mercado B2B Diseño de Propuestas Comerciales y Negociación Fidelización y Gestión de Cuentas (Account Management) Análisis de Mercado y ReportesPaquete salarial y beneficios: Sueldo base atractivo Comisiones sin techo Beneficios de Ley Viaticos Modalidad de trabajo Hibrida",multitrabajos
Docente de Desarrollo de Software y Programación (Tiempo Parcial),"Docente de Desarrollo de Software y Programación (Tiempo Parcial)Resumen del PuestoBuscamos un profesional con formación de cuarto nivel para unirse a nuestro equipo docente en el área de Desarrollo de Software y Programación. El objetivo principal del cargo es liderar el proceso de enseñanza, abarcando lenguajes modernos, lógica de programación y metodologías ágiles, fomentando la conexión entre la teoría y la creación de soluciones tecnológicas aplicadas.Responsabilidades Impartir docencia en lenguajes de programación modernos, lógica de programación y metodologías ágiles. Vincular los conceptos teóricos con la creación de soluciones tecnológicas prácticas y reales. Fomentar un entorno de aprendizaje innovador y enfocado en el desarrollo digital. Contribuir a la formación de tecnólogos de excelencia.Requisitos Título de cuarto nivel registrado en un área afín a Desarrollo de Software y Programación. Experiencia profesional activa en la industria del desarrollo de software. Sólidos conocimientos en lenguajes de programación modernos, lógica de programación y metodologías ágiles. Capacidad para enseñar y motivar a estudiantes. Orientación hacia la innovación y el desarrollo tecnológico.Condiciones de ContrataciónSe ofrece una contratación bajo modalidad de tiempo parcial (por horas), con flexibilidad horaria, ideal para profesionales que buscan compartir su conocimiento y experiencia.",multitrabajos
