titulo_oferta,empresa,ciudad,salario_raw,fecha_raw,modalidad_raw,descripcion_raw,url_oferta,fuente,fecha_publicacion,salario_usd,categoria_rol,clave_deduplicacion
"Asistente Técnico de Redes, Software y hadware",Ceneris EIRL,"Miraflores, Lima","S/. 1.300,00 (Mensual)",Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-tecnico-de-redes-software-y-hadware-en-miraflores-418C11D83C870CFA61373E686DCF3405#lc=ListOffers-Score4-13,computrabajo_pe,2026-06-30,1300.0,Soporte Técnico,"asistente técnico de redes, software y hadware|ceneris eirl|miraflores, lima|computrabajo_pe"
Docente Pregrado de Software y Tecnología en la Salud,Universidad de Ciencias y Humanidades,"4,6",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-docente-pregrado-de-software-y-tecnologia-en-la-salud-en-los-olivos-746B645EE8A9C08D61373E686DCF3405#lc=ListOffers-Score4-14,computrabajo_pe,2026-06-30,,Desarrollo de Software,"docente pregrado de software y tecnología en la salud|universidad de ciencias y humanidades|4,6|computrabajo_pe"
Customer Service / Galaxy Consultant Samsung Móvil/ Soporte técnico Software,Grupo Tawa,"4,3",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-customer-service-galaxy-consultant-samsung-movil-soporte-tecnico-software-descansa-domingos-planilla-s1700-en-villa-el-salvador-DB46555DFA68D9AF61373E686DCF3405#lc=ListOffers-Score4-15,computrabajo_pe,2026-06-30,,Soporte Técnico,"customer service / galaxy consultant samsung móvil/ soporte técnico software|grupo tawa|4,3|computrabajo_pe"
Ejecutivo Comercial / Venta de Software,Semco S.A.,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-comercial-venta-de-software-experiencia-en-venta-de-software-yo-sistemas-en-santiago-de-surco-25336A4E043B022261373E686DCF3405#lc=ListOffers-Score4-16,computrabajo_pe,2026-06-30,,Desarrollo de Software,"ejecutivo comercial / venta de software|semco s.a.|4,2|computrabajo_pe"
Ejecutivo de Ventas de Software,Semco S.A.,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-ejecutivo-de-ventas-de-software-en-santiago-de-surco-ACDEF68EC7E4B8D961373E686DCF3405#lc=ListOffers-Score4-17,computrabajo_pe,2026-06-30,,Desarrollo de Software,"ejecutivo de ventas de software|semco s.a.|4,2|computrabajo_pe"
Arquitecto software,Software Enterprise Services SAC,"4,2",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-arquitecto-software-en-san-isidro-70E61D135AA1022461373E686DCF3405#lc=ListOffers-Score4-18,computrabajo_pe,2026-06-30,,Desarrollo de Software,"arquitecto software|software enterprise services sac|4,2|computrabajo_pe"
Asistente Comercial,,"Santiago De Surco, Lima",,Hace  3  días,,,https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asistente-comercial-venta-de-software-en-santiago-de-surco-8404E81472F3A9CF61373E686DCF3405#lc=ListOffers-Score4-19,computrabajo_pe,2026-06-30,,Otros,"asistente comercial||santiago de surco, lima|computrabajo_pe"
"Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",,GUAYAQUIL,$482,22/05/2026,Tiempo Completo,"Premium Ejecutivo Comercial / Contac Center MANATEL OFERTA LABORAL: Ejecutivo Comercial. Ubicación: GUAYAQUIL (NORTE) Horario: JORNADA DE OFICINA TIEMPO COMPLETO O MEDIO TIEMPO Salario: SUELDO FIJO $482 Inicio: INMEDIATO DESCRIPCION DEL PUESTO: Buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... Tiempo Completo Guayaquil, Guayas • 22/05/2026 $482,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3038497/ejecutivo-comercial-contac-center-en-guayas,trabajosdiarios,2026-05-22,482.0,Data / BI,"ejecutivo comercial / contac center manatel oferta laboral: ejecutivo comercial. ubicación: guayaquil (norte) horario: jornada de oficina tiempo completo o medio tiempo salario: sueldo fijo $482 inicio: inmediato descripcion del puesto: buscamos personas dinámicas, con habilidades comunicativas y orientadas al cliente, para unirse a nuestro equipo... tiempo completo guayaquil, guayas • 22/05/2026 $482,00 / mensual||guayaquil|trabajosdiarios"
"Asesor/a Comercial de Software y Tecnología Pacusoft SAS En Pacusoft buscamos incorporar a nuestro equipo un/a Asesor/a Comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. Buscamos una persona con habilidades comerciales, facilidad para relacionarse con... Tiempo Completo Quito, Pichincha • 14/05/2026 $550,00 / Mensual",,Quito,"$550,00",14/05/2026,Tiempo Completo,"Premium Asesor/a Comercial de Software y Tecnología Pacusoft SAS En Pacusoft buscamos incorporar a nuestro equipo un/a Asesor/a Comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. Buscamos una persona con habilidades comerciales, facilidad para relacionarse con... Tiempo Completo Quito, Pichincha • 14/05/2026 $550,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3034647/asesora-comercial-de-software-y-tecnologia-en-pichincha,trabajosdiarios,2026-05-14,550.0,Data / BI,"asesor/a comercial de software y tecnología pacusoft sas en pacusoft buscamos incorporar a nuestro equipo un/a asesor/a comercial con iniciativa, buena comunicación y orientación a resultados, para impulsar la promoción de nuestras soluciones de software y servicios tecnológicos. buscamos una persona con habilidades comerciales, facilidad para relacionarse con... tiempo completo quito, pichincha • 14/05/2026 $550,00 / mensual||quito|trabajosdiarios"
"Asistente Bodega PARABRISAS AM GLASSES Personal para bodega que conozca de logistica e inventario, responsable y puntual en el detalle de su trabajo, toma fisica de stock y registro de entradas y salidas, uso de excel o software, disponibilidad inmediata y trabajo en equipo, sueldo... Tiempo Completo GUAYAQUIL, Guayas • 08/06/2026 $482,00 / Mensual",,GUAYAQUIL,"$482,00",08/06/2026,Tiempo Completo,"Premium Asistente Bodega PARABRISAS AM GLASSES Personal para bodega que conozca de logistica e inventario, responsable y puntual en el detalle de su trabajo, toma fisica de stock y registro de entradas y salidas, uso de excel o software, disponibilidad inmediata y trabajo en equipo, sueldo... Tiempo Completo GUAYAQUIL, Guayas • 08/06/2026 $482,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3046825/asistente-bodega-en-guayas,trabajosdiarios,2026-06-08,482.0,Data / BI,"asistente bodega parabrisas am glasses personal para bodega que conozca de logistica e inventario, responsable y puntual en el detalle de su trabajo, toma fisica de stock y registro de entradas y salidas, uso de excel o software, disponibilidad inmediata y trabajo en equipo, sueldo... tiempo completo guayaquil, guayas • 08/06/2026 $482,00 / mensual||guayaquil|trabajosdiarios"
"Pasantía Laboral / Research and Development Deinsa Global En Deinsa Global estamos realizando un Programa de Pasantía Laboral para estudiantes de alto desempeño y profesionales (modalidad virtual), que deseen iniciar una carrera profesional desempeñando el puesto de PROJECT MANAGER en RESEARCH & DEVELOPMENT. Este rol presupone la realización... Desde Casa Sin experiencia Pichincha, Pichincha • 29/06/2026",,Pichincha,,29/06/2026,Desde Casa,"Pasantía Laboral / Research and Development Deinsa Global En Deinsa Global estamos realizando un Programa de Pasantía Laboral para estudiantes de alto desempeño y profesionales (modalidad virtual), que deseen iniciar una carrera profesional desempeñando el puesto de PROJECT MANAGER en RESEARCH & DEVELOPMENT. Este rol presupone la realización... Desde Casa Sin experiencia Pichincha, Pichincha • 29/06/2026",https://ec.trabajosdiarios.com/trabajo/3058038/pasantia-laboral-research-and-development-en-pichincha,trabajosdiarios,2026-06-29,,Otros,"pasantía laboral / research and development deinsa global en deinsa global estamos realizando un programa de pasantía laboral para estudiantes de alto desempeño y profesionales (modalidad virtual), que deseen iniciar una carrera profesional desempeñando el puesto de project manager en research & development. este rol presupone la realización... desde casa sin experiencia pichincha, pichincha • 29/06/2026||pichincha|trabajosdiarios"
"Ventas Sara Ochoa Clínica Ser Humano se encuentra en la búsqueda de un/a Asesor/a Comercial Digital para integrarse a nuestro equipo. Requisitos: • Experiencia en ventas y atención al cliente. • Manejo de redes sociales y respuesta a mensajes. • Conocimientos básicos de... Tiempo Completo Guayaquil, Guayas • 18/06/2026",,Guayaquil,,18/06/2026,Tiempo Completo,"Ventas Sara Ochoa Clínica Ser Humano se encuentra en la búsqueda de un/a Asesor/a Comercial Digital para integrarse a nuestro equipo. Requisitos: • Experiencia en ventas y atención al cliente. • Manejo de redes sociales y respuesta a mensajes. • Conocimientos básicos de... Tiempo Completo Guayaquil, Guayas • 18/06/2026",https://ec.trabajosdiarios.com/trabajo/3054642/ventas-en-guayas,trabajosdiarios,2026-06-18,,Otros,"ventas sara ochoa clínica ser humano se encuentra en la búsqueda de un/a asesor/a comercial digital para integrarse a nuestro equipo. requisitos: • experiencia en ventas y atención al cliente. • manejo de redes sociales y respuesta a mensajes. • conocimientos básicos de... tiempo completo guayaquil, guayas • 18/06/2026||guayaquil|trabajosdiarios"
"Auxiliar contable Sara Ochoa OFERTA LABORAL Clínica Ser Humano se encuentra en la búsqueda de un/a Auxiliar Contable para trabajar medio tiempo bajo modalidad de servicios prestados. Requisitos: • Conocimientos en software contables. • Experiencia básica en procesos contables y administrativos. • Persona organizada,... Medio Tiempo Guayaquil, Guayas • 18/06/2026",,Guayaquil,,18/06/2026,Medio Tiempo,"Auxiliar contable Sara Ochoa OFERTA LABORAL Clínica Ser Humano se encuentra en la búsqueda de un/a Auxiliar Contable para trabajar medio tiempo bajo modalidad de servicios prestados. Requisitos: • Conocimientos en software contables. • Experiencia básica en procesos contables y administrativos. • Persona organizada,... Medio Tiempo Guayaquil, Guayas • 18/06/2026",https://ec.trabajosdiarios.com/trabajo/3054633/auxiliar-contable-en-guayas,trabajosdiarios,2026-06-18,,Desarrollo de Software,"auxiliar contable sara ochoa oferta laboral clínica ser humano se encuentra en la búsqueda de un/a auxiliar contable para trabajar medio tiempo bajo modalidad de servicios prestados. requisitos: • conocimientos en software contables. • experiencia básica en procesos contables y administrativos. • persona organizada,... medio tiempo guayaquil, guayas • 18/06/2026||guayaquil|trabajosdiarios"
"Desarrollador (parroquia Chongon) TELECOM&NET S.A.A Desarrollador de Software / Web Ubicación: Chongón (presencial) Requisitos: Título en Ingeniería en Software o Ingeniería en Desarrollo de Aplicaciones Web. Conocimientos sólidos en HTML, CSS y JavaScript. Experiencia en WordPress y al menos un framework frontend (React, Vue o... Tiempo Completo GUAYAQUIL, Guayas • 16/06/2026 $700,00 / Mensual",,Chongon,"$700,00",16/06/2026,Tiempo Completo,"Desarrollador (parroquia Chongon) TELECOM&NET S.A.A Desarrollador de Software / Web Ubicación: Chongón (presencial) Requisitos: Título en Ingeniería en Software o Ingeniería en Desarrollo de Aplicaciones Web. Conocimientos sólidos en HTML, CSS y JavaScript. Experiencia en WordPress y al menos un framework frontend (React, Vue o... Tiempo Completo GUAYAQUIL, Guayas • 16/06/2026 $700,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3053280/desarrollador-parroquia-chongon-en-guayas,trabajosdiarios,2026-06-16,700.0,Frontend,"desarrollador (parroquia chongon) telecom&net s.a.a desarrollador de software / web ubicación: chongón (presencial) requisitos: título en ingeniería en software o ingeniería en desarrollo de aplicaciones web. conocimientos sólidos en html, css y javascript. experiencia en wordpress y al menos un framework frontend (react, vue o... tiempo completo guayaquil, guayas • 16/06/2026 $700,00 / mensual||chongon|trabajosdiarios"
"Asistente gerencia administrativa ventas Gk-innova SE REQUIERE PERSONA PROACTIVA CON CONOCIMIENTOS EN ÁREAS FINANCIERAS, ADMINISTRATIVAS Y ATENCIÓN AL CLIENTE, CON LA POSIBILIDAD DE VIAJAR, CON CONOCIMIENTOS DE MANEJO DE SOFTWARE ADMINISTRATIVO FINANCIERO, COMPRAS PUBLICAS, REALIZAR OFERTAS SEGUIMIENTO DE OFERTASYCOTIZACIONES, SERVICIO Y ATENCION A CLIENTES, MANEJO... Por Contrato Quito, Pichincha • 15/06/2026 $550,00 / Mensual",,Quito,"$550,00",15/06/2026,Por Contrato,"Asistente gerencia administrativa ventas Gk-innova SE REQUIERE PERSONA PROACTIVA CON CONOCIMIENTOS EN ÁREAS FINANCIERAS, ADMINISTRATIVAS Y ATENCIÓN AL CLIENTE, CON LA POSIBILIDAD DE VIAJAR, CON CONOCIMIENTOS DE MANEJO DE SOFTWARE ADMINISTRATIVO FINANCIERO, COMPRAS PUBLICAS, REALIZAR OFERTAS SEGUIMIENTO DE OFERTASYCOTIZACIONES, SERVICIO Y ATENCION A CLIENTES, MANEJO... Por Contrato Quito, Pichincha • 15/06/2026 $550,00 / Mensual",https://ec.trabajosdiarios.com/trabajo/3052436/asistente-gerencia-administrativa-ventas-en-pichincha,trabajosdiarios,2026-06-15,550.0,Data / BI,"asistente gerencia administrativa ventas gk-innova se requiere persona proactiva con conocimientos en áreas financieras, administrativas y atención al cliente, con la posibilidad de viajar, con conocimientos de manejo de software administrativo financiero, compras publicas, realizar ofertas seguimiento de ofertasycotizaciones, servicio y atencion a clientes, manejo... por contrato quito, pichincha • 15/06/2026 $550,00 / mensual||quito|trabajosdiarios"
"Tornero CNC WORIND COMPONENTES INDUSTRIALES Funciones Principales Interpretación de planos: Interpretar planos de ingeniería para entender las medidas y tolerancias de la pieza final. Programación: Introducir o modificar códigos y parámetros de mecanizado (velocidad, avance, profundidad) en el software de la máquina. Instalar las herramientas... Tiempo Completo Durán, Guayas • 12/06/2026",,Durán,,12/06/2026,Tiempo Completo,"Tornero CNC WORIND COMPONENTES INDUSTRIALES Funciones Principales Interpretación de planos: Interpretar planos de ingeniería para entender las medidas y tolerancias de la pieza final. Programación: Introducir o modificar códigos y parámetros de mecanizado (velocidad, avance, profundidad) en el software de la máquina. Instalar las herramientas... Tiempo Completo Durán, Guayas • 12/06/2026",https://ec.trabajosdiarios.com/trabajo/3051847/tornero-cnc-en-guayas,trabajosdiarios,2026-06-12,,Desarrollo de Software,"tornero cnc worind componentes industriales funciones principales interpretación de planos: interpretar planos de ingeniería para entender las medidas y tolerancias de la pieza final. programación: introducir o modificar códigos y parámetros de mecanizado (velocidad, avance, profundidad) en el software de la máquina. instalar las herramientas... tiempo completo durán, guayas • 12/06/2026||durán|trabajosdiarios"
"Conductor licencia C ZETALENT Formación: Bachiller. Experiencia de 2 años en posiciones similares. Conocimientos técnicos en: equipos que se manejan en la construcción, gestión de inventarios, logística de transporte, manejo de documentos, excel o software logístico, CONDUCIR VEHÍCULOS DE 3.5 T. PREFERENTE EXPERIENCIA EN... Tiempo Completo Quito, Pichincha • 02/06/2026",,Quito,,02/06/2026,Tiempo Completo,"Conductor licencia C ZETALENT Formación: Bachiller. Experiencia de 2 años en posiciones similares. Conocimientos técnicos en: equipos que se manejan en la construcción, gestión de inventarios, logística de transporte, manejo de documentos, excel o software logístico, CONDUCIR VEHÍCULOS DE 3.5 T. PREFERENTE EXPERIENCIA EN... Tiempo Completo Quito, Pichincha • 02/06/2026",https://ec.trabajosdiarios.com/trabajo/3047631/conductor-licencia-c-en-pichincha,trabajosdiarios,2026-06-02,,Soporte Técnico,"conductor licencia c zetalent formación: bachiller. experiencia de 2 años en posiciones similares. conocimientos técnicos en: equipos que se manejan en la construcción, gestión de inventarios, logística de transporte, manejo de documentos, excel o software logístico, conducir vehículos de 3.5 t. preferente experiencia en... tiempo completo quito, pichincha • 02/06/2026||quito|trabajosdiarios"
